"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Omega-3 fatty acid metabolism","39","15","6","12.044","0.59896","0.74503","0.044971","0","0","1","1","1","P76","EC00028;EC00030;EC0001669;EC0001671;EC0001672;EC0001673;EC0001213;EC0001215;EC00022;EC0001496;EC0001497"
"Vitamin H (biotin) metabolism","5","4","3","6.5237","0.61194","0.80037","0.047181","0","0","1","1","1","P77","EC00050;EC00051;EC00028;EC00030;EC0001420;EC0001421"
"Prostaglandin formation from dihomo gama-linoleic acid","11","6","5","6.5237","0.61194","0.80037","0.047181","0","0","1","1","1","P78","EC000604;EC000605;EC000606;EC0001917;EC0001835;EC0001750"
"Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation","19","4","2","2.0073","0.63089","0.91702","0.050647","0","0","1","1","1","P79","EC00022;EC00024"
"Glycosphingolipid biosynthesis - ganglioseries","62","19","9","14.553","0.63585","0.76387","0.051605","0","0","1","1","1","P80","EC000167;EC00041;EC00059;EC00061;EC00062;EC00063;EC0001465;EC00023;EC0001033;EC000178;EC000176;EC000177;EC0001470"
"Alkaloid biosynthesis II","10","6","6","9.0328","0.65282","0.80716","0.055054","96","0.96","1","1","1","P81","EC00022;EC00028;EC00030;EC000867;EC000868;EC0001475;EC0001594;EC000228"
"Vitamin B2 (riboflavin) metabolism","8","5","5","8.0292","0.67486","0.8311","0.059969","0","0","1","1","1","P82","EC00028;EC00030;EC00024;EC000298;EC000299;EC00065;EC000933"
"Saturated fatty acids beta-oxidation","36","13","5","8.0292","0.67486","0.8311","0.059969","0","0","1","1","1","P83","EC0001062;EC0001063;EC0001064;EC000344;EC00022;EC00024;EC000289"
"Fructose and mannose metabolism","33","29","19","20.575","0.68117","0.78308","0.061474","43","0.43","1","1","1","P84","EC000387;EC000236;EC000106;EC000750;EC000751;EC000752;EC000142;EC000143;EC00041;EC0001059;EC0001061;EC0001861;EC0001862;EC0001863;EC0001864;EC0001865;EC0001866;EC0001867"
"N-Glycan biosynthesis","48","18","9","15.055","0.69602","0.81036","0.065212","0","0","1","1","1","P85","EC000126;EC000127;EC000167;EC00072;EC000144;EC000145;EC00061;EC00062;EC00063;EC00041;EC00023;EC000106;EC000413"
"Phosphatidylinositol phosphate metabolism","59","31","21","23.084","0.7055","0.79796","0.067749","0","0","1","1","1","P86","EC000856;EC00023;EC000818;EC000387;EC0002096;EC00061;EC00062;EC00063;EC000833;EC000835;EC000106;EC000243;EC00022;EC000108;EC000109;EC000112;EC000289;EC0001661;EC0001663;EC0002085"
"Vitamin D3 (cholecalciferol) metabolism","16","13","10","9.5347","0.72497","0.85593","0.073369","0","0","1","1","1","P87","EC000881;EC000905;EC000906;EC000576;EC0001745;EC0001747;EC0001742;EC0001743"
"Lipoate metabolism","8","4","3","6.0219","0.7285","0.88479","0.074451","92","0.92","1","1","1","P88","EC000560;EC0001809;EC0001810;EC00050;EC00051"
"Phytanic acid peroxisomal oxidation","34","7","4","6.0219","0.7285","0.88479","0.074451","0","0","1","1","1","P89","EC00036;EC00028;EC00030;EC00022;EC00047"
"Drug metabolism - cytochrome P450","53","35","23","28.604","0.78335","0.8526","0.094356","1","0.01","1","1","1","P90","EC0001704;EC0001705;EC0001228;EC0001512;EC0001535;EC0001718;EC0001352;EC0001713;EC0001522;EC000874;EC0001537;EC0001699;EC0001696;EC0001697;EC0001698;EC0001523;EC0001524;EC0001526;EC0001527;EC0001723;EC0001724;EC0001739;EC0001510;EC0001511"
"Tyrosine metabolism","160","113","75","108.39","0.79007","0.82543","0.097272","100","1","1","1","1","P91","EC00036;EC00032;EC00028;EC00030;EC0001959;EC0001768;EC0001781;EC000806;EC000807;EC000657;EC000658;EC000659;EC000660;EC00034;EC00035;EC00033;EC000670;EC00022;EC00023;EC00026;EC000611;EC0001651;EC000444;EC0001133;EC000759;EC000760;EC0001004;EC0001151;EC0001152;EC0001153;EC000341;EC000342;EC0001544;EC0001545;EC0001546;EC0001325;EC0001052;EC0001053;EC000121;EC00096;EC00097;EC00082;EC0001480;EC00099;EC000100;EC0001932;EC000995;EC000500;EC000502;EC000214;EC000215;EC0001877;EC0001878;EC0001879;EC0001881;EC00073;EC000866;EC000313;EC0001322;EC0001339;EC0001340;EC0001341;EC000389;EC000390;EC000391;EC000310;EC0001551;EC0001553;EC000565;EC000567;EC000887;EC000888;EC0001371;EC000969;EC000970;EC0001329;EC0001330;EC0001333;EC0001336;EC0001337;EC00059;EC00055;EC00056;EC00057;EC000578;EC000580;EC0001872;EC0001347;EC000134;EC000135;EC000137;EC000139;EC00043;EC00044;EC0001817"
"Fatty acid oxidation, peroxisome","28","6","3","4.0146","0.80262","0.94569","0.10306","100","1","1","1","1","P92","EC00036;EC00022;EC00047"
"Vitamin B9 (folate) metabolism","33","17","10","15.055","0.8118","0.8951","0.10761","0","0","1","1","1","P93","EC00034;EC00035;EC0001166;EC00076;EC00079;EC0001146;EC000763;EC0001108;EC00024;EC000478;EC000472;EC000706"
"Pentose phosphate pathway","37","35","29","29.608","0.84561","0.8994","0.12712","85","0.85","1","1","1","P94","EC000159;EC000316;EC000318;EC000148;EC000150;EC000151;EC000152;EC00028;EC00030;EC000956;EC000301;EC000302;EC000247;EC000248;EC000249;EC000106;EC0001593;EC000386;EC000142;EC000143;EC000153;EC000315;EC000335;EC000336"
"Parathio degradation","6","2","1","1.5055","0.84571","1","0.12719","100","1","1","1","1","P95","EC0001503"
"Polyunsaturated fatty acid biosynthesis","21","4","3","4.5164","0.86918","0.96773","0.14406","0","0","1","1","1","P96","EC00022;EC000524;EC000878"
"Proteoglycan biosynthesis","27","9","3","4.5164","0.86918","0.96773","0.14406","0","0","1","1","1","P97","EC00059;EC00023;EC000241"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","23","9","8.531","0.87803","0.95266","0.15136","0","0","1","1","1","P98","EC0001933;EC0001934;EC0001947;EC0001948;EC0001938;EC00022"
"Galactose metabolism","41","39","21","31.615","0.88625","0.92774","0.15869","0","0","1","1","1","P99","EC000106;EC000176;EC000177;EC000178;EC000108;EC000109;EC000112;EC0001269;EC0001272;EC0001274;EC000511;EC000513;EC000236;EC000144;EC000145;EC000247;EC000248;EC000249;EC0001268;EC000387;EC00072;EC000142;EC000143;EC00023;EC00090"
"Drug metabolism - other enzymes","31","17","10","15.055","0.89606","0.94881","0.16823","100","1","1","1","1","P100","EC0001574;EC0001733;EC0001734;EC0001728;EC0001529;EC0001727;EC0001570;EC0001582;EC0001738;EC0001506;EC0001507"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","3","2","3.5128","0.91015","0.98723","0.18379","0","0","1","1","1","P101","EC00022;EC000106"
"R Group Synthesis","7","4","1","2.0073","0.91731","1","0.19273","0","0","1","1","1","P102","EC00024"
"Hexose phosphorylation","20","18","10","17.062","0.93126","0.96695","0.21266","100","1","1","1","1","P103","EC000360;EC000361;EC000362;EC000363;EC000106;EC000171;EC000108;EC000109;EC000112;EC000214;EC000215;EC000386"
"Tryptophan metabolism","94","66","47","74.27","0.94038","0.95715","0.22803","100","1","1","1","1","P104","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC000356;EC0001758;EC0001360;EC000651;EC000652;EC0001366;EC00022;EC00024;EC00026;EC000992;EC000993;EC0001651;EC0001075;EC0001371;EC0001034;EC0001374;EC0001375;EC000429;EC000612;EC000613;EC00094;EC00095;EC0001151;EC0001152;EC0001153;EC0002004;EC000990;EC000132;EC000313;EC0001768;EC0001486;EC0001890;EC0001814;EC0002025;EC000310;EC0001897;EC0001899;EC000348;EC000350;EC0001167;EC0001170;EC00055;EC00056;EC00057;EC0001143;EC0001144;EC0001145;EC0001352;EC000724;EC000294;EC000296;EC000603;EC00043;EC00044"
"Omega-6 fatty acid metabolism","55","13","5","10.036","0.95753","0.98616","0.26442","0","0","1","1","1","P105","EC00028;EC00030;EC000976;EC000262;EC000263;EC00022"
"Starch and Sucrose Metabolism","33","21","11","16.058","0.97315","0.98929","0.31238","0","0","1","1","1","P106","EC000511;EC000513;EC000126;EC000127;EC000106;EC000108;EC000109;EC000112;EC000645;EC00023"
"Nucleotide Sugar Metabolism","7","5","2","5.5201","0.98902","0.99895","0.39973","0","0","1","1","1","P107","EC000106;EC000241"
"Xenobiotics metabolism","110","55","21","36.131","0.99813","0.99916","0.54427","100","1","1","1","1","P108","EC0001417;EC00059;EC000673;EC00055;EC00056;EC00057;EC00023;EC0001021;EC0001628;EC0001631;EC0001493;EC0001494;EC000289;EC000603;EC0001633;EC0001029;EC0001030;EC0001640;EC0001644;EC0001645;EC0001646;EC0001609"
"Caffeine metabolism","11","10","1","7.5274","0.99992","1","0.72021","100","1","1","1","1","P109","EC0001684"
