"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Steroid biosynthesis","40","33","30","18.799","0.68495","0.81447","0.16512","0","0","1","1","1","P42","EC000654;EC000936;EC000709;EC000710;EC000712;EC000713;EC000207;EC000931;EC000933;EC000935;EC000628;EC0001207;EC0001208;EC000725;EC000842;EC0001409;EC0001343;EC0001345"
"alpha-Linolenic acid metabolism","12","5","2","7.2305","0.68531","0.8714","0.16531","0","0","1","1","1","P43","EC0001141;EC0001142;EC0001265;EC0001266;EC0001267;EC0001268;EC0001269"
"Metabolism of xenobiotics by cytochrome P450","68","41","37","44.829","0.69511","0.78178","0.17049","44","0.44","1","1","1","P44","EC0001240;EC0001224;EC0001227;EC0001250;EC0001251;EC0001128;EC0001130;EC0001131;EC0001230;EC0001232;EC0001368;EC0001369;EC0001280;EC0001152;EC0001153;EC0001358;EC000558;EC0001222;EC0001242;EC0001253;EC0001252;EC0001239;EC0001246;EC0001247;EC0001228;EC0001248;EC000824;EC000825;EC000679;EC000680;EC000681;EC000683;EC0001370;EC0001371;EC0001364;EC0001365;EC0001366;EC0001374;EC0001373;EC0001362;EC0001363;EC0001359;EC0001361"
"Starch and sucrose metabolism","12","12","12","11.569","0.70391","0.85445","0.17532","0","0","1","1","1","P45","EC00091;EC00092;EC00093;EC00094;EC00023;EC00024;EC00022;EC00086;EC00087;EC00088;EC000341"
"Sphingolipid metabolism","11","11","9","13.738","0.71311","0.85107","0.18057","0","0","1","1","1","P46","EC0001123;EC0001124;EC000564;EC000299;EC000300;EC00060;EC00061;EC00062;EC00063;EC000732;EC0001212;EC000334;EC000335"
"Glycerolipid metabolism","7","6","6","8.6767","0.75892","0.90214","0.21011","100","1","1","1","1","P47","EC00095;EC00096;EC000206;EC000266;EC000122;EC000213;EC000214;EC000215"
"Biotin metabolism","4","3","3","6.5075","0.76019","0.91664","0.21102","0","0","1","1","1","P48","EC000134;EC0001090;EC0001091;EC0001092;EC00035;EC00036"
"Ascorbate and aldarate metabolism","8","8","7","10.846","0.76092","0.89273","0.21155","100","1","1","1","1","P49","EC00023;EC00024;EC00022;EC000216;EC000218;EC000800;EC000264;EC000265;EC000212;EC000552"
"Phosphonate and phosphinate metabolism","4","2","2","4.3383","0.76904","0.93954","0.21752","100","1","1","1","1","P50","EC0001148;EC0001149;EC0001150;EC0001060"
"Selenocompound metabolism","16","5","4","4.3383","0.76904","0.93954","0.21752","0","0","1","1","1","P51","EC0001063;EC0001064;EC00028;EC00029"
"Mannose type O-glycan biosynthesis","3","3","3","4.3383","0.76904","0.93954","0.21752","0","0","1","1","1","P52","EC000548;EC00056;EC000631;EC000632"
"Fructose and mannose metabolism","20","19","19","21.692","0.78429","0.87841","0.22941","100","1","1","1","1","P53","EC000549;EC000551;EC00023;EC00024;EC000341;EC00086;EC00087;EC00088;EC000817;EC000818;EC000819;EC00098;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000889;EC000890"
"Nicotinate and nicotinamide metabolism","15","14","13","21.692","0.78429","0.87841","0.22941","100","1","1","1","1","P54","EC00037;EC00039;EC000567;EC000872;EC0001080;EC000666;EC000667;EC0002;EC000828;EC000178;EC000179;EC000180;EC000181;EC000812;EC0004;EC000257;EC000259;EC0001081;EC0001082;EC0001084"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","10.123","0.81412","0.92486","0.25553","100","1","1","1","1","P55","EC000189;EC000190;EC000191;EC00078;EC00079;EC00080;EC00081;EC00082;EC000659"
"Pentose phosphate pathway","23","23","23","36.876","0.81936","0.88582","0.26058","100","1","1","1","1","P56","EC00086;EC00087;EC00088;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000137;EC000138;EC000122;EC000965;EC000966;EC000967;EC000341;EC000330;EC000332;EC000673;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000753;EC000754;EC000755;EC000756;EC000132;EC000278;EC000213;EC000214;EC000215"
"Galactose metabolism","27","26","26","22.415","0.85288","0.92215","0.29682","0","0","1","1","1","P57","EC000724;EC00086;EC00087;EC00088;EC000438;EC000440;EC00091;EC00092;EC00093;EC00094;EC00023;EC00024;EC000971;EC000973;EC000974;EC000968;EC00022;EC000341;EC000549;EC000551"
"Caffeine metabolism","10","10","9","9.3997","0.86196","0.95055","0.30804","100","1","1","1","1","P58","EC00024;EC0001273;EC0001167;EC0001168;EC0001169;EC0001274;EC0001275;EC0001277"
"Pentose and glucuronate interconversions","18","18","15","19.522","0.88061","0.94212","0.33345","100","1","1","1","1","P59","EC00022;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000137;EC000138;EC000631;EC000632;EC000212;EC000771;EC000772;EC000548"
"Fatty acid degradation","35","13","6","10.846","0.89391","0.96159","0.35389","0","0","1","1","1","P60","EC000798;EC000251;EC000252;EC000820;EC000821;EC000822;EC0007;EC000948;EC000949"
"Glycerophospholipid metabolism","13","9","9","22.415","0.92347","0.9637","0.4089","100","1","1","1","1","P61","EC000122;EC000294;EC000476;EC000478;EC000664;EC000665;EC000334;EC000335;EC00095;EC00096;EC000519;EC000520;EC000521;EC000522;EC000469;EC000470;EC000472;EC000670;EC000672"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","2","5.7844","0.9523","0.99121","0.48326","100","1","1","1","1","P62","EC000251;EC000252;EC000334;EC000335"
"Sulfur metabolism","8","5","3","5.7844","0.9523","0.99121","0.48326","100","1","1","1","1","P63","EC00048;EC000231;EC000232;EC000301"
"Fatty acid elongation","28","9","4","7.2305","0.96232","0.99202","0.51765","0","0","1","1","1","P64","EC000949;EC000798;EC000948;EC000251;EC000252"
"Tryptophan metabolism","41","35","29","60.737","0.96529","0.97919","0.52919","100","1","1","1","1","P65","EC00075;EC00076;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001037;EC0001038;EC0001039;EC0001040;EC000507;EC000508;EC000806;EC000807;EC000808;EC000304;EC000305;EC000885;EC000886;EC000887;EC000897;EC000900;EC000310;EC0001053;EC000495;EC000496;EC000498;EC0001051;EC0001052;EC000595;EC000596;EC000598;EC000375;EC0001044;EC0001045;EC0001046;EC0001047;EC0001056;EC0001057;EC0001059;EC0001041;EC000111;EC000112;EC0001043;EC0001048;EC0001050;EC000679;EC000680;EC000681;EC000683;EC0001134"
"Lipoic acid metabolism","17","9","7","12.292","0.97051","0.9912","0.5514","100","1","1","1","1","P66","EC0001262;EC0001264;EC00018;EC00064;EC00021;EC000964;EC000304;EC000305;EC000161"
"Inositol phosphate metabolism","21","19","15","18.076","0.98888","0.99639","0.66593","100","1","1","1","1","P67","EC000676;EC000678;EC000341;EC00086;EC00087;EC00088;EC00023;EC00024;EC000691;EC000693;EC00018;EC000122;EC000212"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","3","9.3997","0.99727","0.99958","0.78315","100","1","1","1","1","P68","EC000185;EC000186;EC000659;EC00081;EC00082"
"Tyrosine metabolism","42","42","37","68.69","0.99874","0.99937","0.82942","100","1","1","1","1","P69","EC000730;EC000544;EC000545;EC0001018;EC0001019;EC000296;EC000297;EC0001013;EC0001007;EC0001032;EC000874;EC000875;EC000876;EC000504;EC0001014;EC0001015;EC0001024;EC0001025;EC0001028;EC000343;EC000345;EC000346;EC000630;EC00081;EC00082;EC000790;EC000619;EC000620;EC000659;EC000877;EC000878;EC000431;EC000432;EC0001008;EC0001009;EC0001010;EC000185;EC000186;EC0001021;EC0001023;EC000476;EC000478;EC000787;EC00018;EC000139;EC000113;EC000114;EC000115;EC000116;EC000118;EC000554;EC000555;EC000737;EC000491;EC0001351"
