"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Putative anti-Inflammatory metabolites formation from EPA","27","24","22","19.153","0.3577","0.55226","0.020286","0","0","1","1","1","P52","EC00034;EC00035;EC0001792;EC0001793;EC0001794;EC0001892;EC0001893;EC0001807;EC0001831;EC0001832;EC0001195;EC0001196;EC00055;EC00056;EC00057;EC0002042;EC0002043;EC0002039;EC0002040"
"Fructose and mannose metabolism","33","29","29","34.142","0.36927","0.51445","0.021058","0","0","1","1","1","P53","EC000352;EC000387;EC000388;EC000236;EC000103;EC000104;EC000105;EC000106;EC000107;EC000750;EC000751;EC000752;EC00039;EC00040;EC000142;EC00038;EC00041;EC000825;EC000664;EC000666;EC0001868;EC000120;EC00049;EC0001059;EC0001060;EC0001061;EC0001861;EC0001862;EC0001863;EC0001864;EC0001865;EC0001866;EC0001867"
"Dynorphin metabolism","8","3","3","6.6618","0.41581","0.72425","0.024512","0","0","1","1","1","P54","EC0001855;EC0001857;EC0001901;EC0001902;EC0001882;EC0001883;EC0001884"
"Butanoate metabolism","34","23","22","43.302","0.44349","0.57218","0.026867","100","1","1","1","1","P55","EC00034;EC00035;EC00036;EC00028;EC00030;EC00033;EC00080;EC000134;EC000135;EC000136;EC000137;EC000139;EC0001316;EC0001317;EC0001471;EC0001473;EC000232;EC000233;EC000234;EC0001069;EC0001070;EC0001071;EC0001072;EC000742;EC000743;EC000744;EC0001451;EC00022;EC00024;EC000368;EC000369;EC000370;EC000371;EC0001040;EC0001041;EC0001043;EC000282;EC00045;EC00047;EC000695;EC000696"
"Lipoate metabolism","8","4","4","9.9927","0.45123","0.70558","0.027571","100","1","1","1","1","P56","EC000560;EC000561;EC000562;EC0001809;EC0001810;EC0001811;EC000639;EC000641;EC00050;EC00051"
"Hexose phosphorylation","20","18","18","28.313","0.45658","0.61453","0.02807","0","0","1","1","1","P57","EC00038;EC00039;EC00040;EC0001404;EC000125;EC000360;EC000361;EC000363;EC000103;EC000105;EC000106;EC000107;EC000104;EC000171;EC000108;EC000109;EC000111;EC000112;EC000214;EC000215;EC000216;EC000664;EC000666;EC000778;EC000384;EC000385;EC000386"
"C5-Branched dibasic acid metabolism","10","6","6","5.8291","0.49321","0.79415","0.031776","100","1","1","1","1","P58","EC00022;EC00041;EC00033;EC000504;EC000506;EC00049"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","3","2","5.8291","0.49321","0.79415","0.031776","0","0","1","1","1","P59","EC00022;EC000103;EC000104;EC000105;EC000106;EC000107"
"Propanoate metabolism","31","14","14","19.985","0.509","0.68888","0.033544","0","0","1","1","1","P60","EC00028;EC00030;EC000134;EC000135;EC000136;EC000137;EC000139;EC00042;EC0001446;EC0001447;EC000641;EC00022;EC000742;EC000743;EC000744;EC00024;EC0001158;EC000236;EC00033"
"Nucleotide Sugar Metabolism","7","5","4","9.16","0.51518","0.76333","0.034267","0","0","1","1","1","P61","EC000103;EC000104;EC000105;EC000106;EC000107;EC000217;EC000680;EC000241;EC000242"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","22","21","34.142","0.51742","0.65715","0.034534","100","1","1","1","1","P62","EC000166;EC000301;EC000302;EC000247;EC000249;EC000761;EC0001001;EC000639;EC000641;EC00055;EC00056;EC00057;EC000578;EC000579;EC000580;EC000243;EC000962;EC000963;EC000964;EC000948;EC0001278;EC0001277;EC0001276;EC00082;EC0002046;EC0002047;EC000213;EC000667;EC000444;EC000445;EC000904;EC000949"
"Vitamin B6 (pyridoxine) metabolism","11","7","7","12.491","0.53104","0.74648","0.036208","100","1","1","1","1","P63","EC000290;EC000292;EC000293;EC00025;EC000538;EC000539;EC000540;EC000616;EC000341;EC000342;EC000593;EC000682"
"Pentose and Glucuronate Interconversions","15","15","15","15.822","0.54373","0.73634","0.037854","94","0.94","1","1","1","P64","EC000126;EC000127;EC00023;EC000217;EC000408;EC000159;EC000243;EC000148;EC000150;EC000152;EC000301;EC000302;EC000149;EC0001262;EC0001263"
"Selenoamino acid metabolism","35","16","16","29.145","0.58006","0.7219","0.043074","0","0","1","1","1","P65","EC00028;EC00030;EC0001381;EC00076;EC00077;EC00078;EC00079;EC000134;EC000135;EC000136;EC000137;EC000139;EC000593;EC00025;EC000252;EC000253;EC000254;EC000256;EC0001382;EC0001384;EC0001385;EC0001386;EC000782;EC000472;EC000306;EC00043;EC00044"
"Pyruvate Metabolism","20","10","10","11.658","0.58889","0.79437","0.044468","100","1","1","1","1","P66","EC00022;EC000197;EC000198;EC000236;EC00033;EC00042;EC0001099;EC00055;EC00056;EC00057;EC000142"
"Pyrimidine metabolism","70","56","53","110.75","0.65254","0.72161","0.056311","100","1","1","1","1","P67","EC000128;EC000129;EC000926;EC000399;EC00033;EC000183;EC00072;EC00037;EC000400;EC000779;EC00073;EC00074;EC00075;EC000125;EC00028;EC00030;EC000430;EC000431;EC000433;EC00034;EC00035;EC00060;EC00061;EC00062;EC00063;EC000698;EC000699;EC000700;EC000442;EC000464;EC000465;EC00059;EC000368;EC000369;EC000370;EC000371;EC00043;EC00044;EC000634;EC000134;EC000135;EC000136;EC000137;EC000139;EC000126;EC000127;EC000865;EC000257;EC000258;EC000259;EC000260;EC000225;EC000226;EC000692;EC000693;EC000327;EC000328;EC00023;EC000144;EC000145;EC000153;EC00090;EC00086;EC00087;EC00088;EC000330;EC000331;EC000171;EC000497;EC000498;EC000499;EC000148;EC000150;EC000152;EC000455;EC000456;EC000457;EC000536;EC000319;EC00041;EC000220;EC000409;EC000411;EC000412;EC000629;EC000630;EC000103;EC000104;EC000105;EC000106;EC000107;EC000275;EC000276;EC000277;EC00049;EC000199;EC000200;EC000201;EC00052;EC00054;EC000491"
