"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose phosphate pathway","37","35","29","17.801","0.18254","0.26495","0.011186","0","0","1","1","0.917252","P21","EC000159;EC000317;EC000318;EC000376;EC000378;EC000148;EC000150;EC00028;EC000103;EC000104;EC000105;EC000384;EC000385;EC000142;EC000153;EC000315;EC000480;EC000825;EC00039;EC000629"
"Hexose phosphorylation","20","18","14","10.258","0.21413","0.33543","0.012336","0","0","1","1","0.999216","P22","EC00039;EC0001404;EC000360;EC000363;EC000103;EC000105;EC000104;EC000111;EC000664;EC000666;EC000384;EC000385"
"N-Glycan Degradation","16","7","5","4.5258","0.21758","0.40897","0.012469","0","0","1","1","0.999216","P23","EC00039;EC000176;EC000178;EC0002084;EC000750;EC000751"
"D4&E4-neuroprostanes formation","37","26","26","3.6206","0.22156","0.43941","0.012625","0","0","1","1","0.999216","P24","EC0002033;EC0002036;EC000761;EC00082;EC000444"
"Glycolysis and Gluconeogenesis","49","38","26","16.293","0.22251","0.31846","0.012662","98","0.98","1","1","0.999216","P25","EC00080;EC00041;EC00042;EC000695;EC000387;EC000103;EC000104;EC000105;EC000560;EC000561;EC00028;EC000142;EC00039;EC00086;EC000791;EC000792;EC000267;EC0001448"
"Vitamin B1 (thiamin) metabolism","20","11","5","5.7327","0.26046","0.44121","0.014261","14","0.14","1","1","1","P26","EC0001474;EC00028;EC00080;EC000348;EC000349;EC000791;EC000792"
"Glycosphingolipid biosynthesis - ganglioseries","62","19","9","8.7499","0.27064","0.41689","0.014727","0","0","1","1","1","P27","EC00039;EC00041;EC000435;EC0001466;EC00059;EC00061;EC000178;EC000176;EC0001468;EC0001469"
"Porphyrin metabolism","43","14","8","8.7499","0.27064","0.41689","0.014727","8","0.08","1","1","1","P28","EC000459;EC000243;EC00082;EC0001388;EC000707;EC000708;EC000711;EC000774;EC000516;EC000444"
"Glycerophospholipid metabolism","156","50","27","32.284","0.27292","0.34559","0.014833","0","0","1","1","1","P29","EC00032;EC0001159;EC0001269;EC0001272;EC000818;EC000810;EC0001463;EC000211;EC0001208;EC0001165;EC000303;EC000345;EC000115;EC0001496;EC0001497;EC0001380;EC000624;EC000380;EC000381;EC00076;EC00079;EC00039;EC000825;EC000142;EC000103;EC000104;EC000105;EC000679;EC000238;EC000893;EC00061;EC000261;EC000263"
"Prostaglandin formation from dihomo gama-linoleic acid","11","6","3","3.9224","0.28261","0.50971","0.015296","0","0","1","1","1","P30","EC000604;EC000606;EC0001834;EC0001750;EC0001751"
"Glutathione Metabolism","19","10","5","7.8447","0.28303","0.44057","0.015316","100","1","1","1","1","P31","EC000934;EC000936;EC00034;EC00035;EC0001130;EC000620;EC000622;EC000121;EC000122"
"Hyaluronan Metabolism","8","6","3","3.0172","0.29413","0.55727","0.015866","0","0","1","1","1","P32","EC000528;EC000176;EC000178;EC000243"
"C5-Branched dibasic acid metabolism","10","6","3","2.112","0.30488","0.62279","0.016419","100","1","1","1","1","P33","EC00041;EC000504;EC000506"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","3","1","2.112","0.30488","0.62279","0.016419","0","0","1","1","1","P34","EC000103;EC000104;EC000105"
"Bile acid biosynthesis","82","51","38","17.198","0.30845","0.41549","0.016607","0","0","1","1","1","P35","EC0001113;EC0001291;EC0001292;EC0001280;EC0001283;EC0001202;EC000939;EC0001290;EC0001148;EC00028;EC0001288;EC000906;EC000631;EC0001742;EC0001747;EC0001011;EC0001018;EC000238"
"Vitamin B9 (folate) metabolism","33","17","8","9.0516","0.31197","0.46277","0.016795","0","0","1","1","1","P36","EC00034;EC00035;EC0001166;EC000183;EC00076;EC00079;EC0001146;EC000442;EC000619;EC000478"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","23","12","5.1292","0.32772","0.53313","0.017666","0","0","1","1","1","P37","EC0001933;EC0001934;EC0001940;EC0001948;EC0001938;EC0001941"
"Aminosugars metabolism","69","34","17","18.707","0.35592","0.46287","0.019354","0","0","1","1","1","P38","EC00034;EC00035;EC000360;EC000363;EC000176;EC000178;EC00073;EC00074;EC000103;EC000104;EC000105;EC000395;EC000394;EC0001380;EC00061;EC000384;EC000385;EC00086;EC0001448"
"Vitamin A (retinol) metabolism","67","46","31","11.465","0.36105","0.49961","0.019679","0","0","1","1","1","P39","EC0001975;EC0001892;EC0001893;EC000406;EC000407;EC000649;EC000650;EC000952;EC0001740;EC000496;EC00028;EC0001208"
"Nucleotide Sugar Metabolism","7","5","2","3.3189","0.36781","0.62885","0.020118","0","0","1","1","1","P40","EC000103;EC000104;EC000105;EC000680"
"Valine, leucine and isoleucine degradation","65","26","18","15.689","0.36838","0.48662","0.020156","100","1","1","1","1","P41","EC00034;EC00035;EC00080;EC00028;EC000135;EC000181;EC000164;EC000165;EC000233;EC00047;EC000268;EC000270;EC000744;EC0001923;EC000368;EC000369"
"Squalene and cholesterol biosynthesis","55","33","17","10.56","0.3787","0.52465","0.020848","0","0","1","1","1","P42","EC000576;EC000238;EC000780;EC0001235;EC0001231;EC000446;EC000447;EC0001098;EC000795;EC000135;EC0002015"
"De novo fatty acid biosynthesis","106","30","14","16.896","0.38584","0.50069","0.021342","0","0","1","1","1","P43","EC00028;EC000635;EC000636;EC0001496;EC0001497;EC0001494;EC0001422;EC0001499;EC000952;EC0001543;EC0001030;EC0001032;EC0001079;EC00059;EC000261;EC000263;EC000893"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","23","12","15.991","0.40217","0.52118","0.022524","100","1","1","1","1","P44","EC00034;EC00035;EC00032;EC00028;EC00069;EC00070;EC00073;EC00074;EC0001407;EC0001409;EC000204;EC000153;EC000148;EC000150;EC00052;EC00054"
"Sialic acid metabolism","107","32","20","18.103","0.40223","0.51384","0.022529","0","0","1","1","1","P45","EC0001448;EC000176;EC000178;EC0001269;EC0001272;EC00039;EC0001468;EC0001469;EC000394;EC000395;EC00086;EC000103;EC000104;EC000105;EC000111;EC00076;EC00079;EC00061"
"TCA cycle","31","22","13","12.974","0.42006","0.55325","0.023903","7","0.07","1","1","1","P46","EC00080;EC0001256;EC000801;EC000430;EC000427;EC000560;EC000561;EC000213;EC00042;EC00086;EC00041;EC00047;EC000444"
