"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Benzoate degradation via CoA ligation","4","1","1","1.5633","0.86058","1","0.13952","0","0","1","1","1","P88","EC000189"
"Limonene and pinene degradation","10","7","5","5.7322","0.86133","0.95725","0.14008","100","1","1","1","1","P89","EC000532;EC000734;EC000736;EC000737"
"Vitamin E metabolism","54","26","16","17.196","0.88283","0.93836","0.15773","0","0","1","1","1","P90","EC00028;EC0001995;EC0001996;EC0001920;EC0001512;EC0001962;EC0001919;EC0001001;EC000578;EC000579;EC0001998;EC0002003;EC0001773"
"Omega-3 fatty acid metabolism","39","15","6","12.507","0.8956","0.95296","0.17001","0","0","1","1","1","P91","EC00028;EC0001671;EC0001672;EC0001673;EC0001214;EC0001215;EC0001496;EC0001497;EC0001677"
"C21-steroid hormone biosynthesis and metabolism","112","79","46","34.393","0.90649","0.94116","0.18185","0","0","1","1","1","P92","EC0001113;EC0001298;EC0001299;EC0001300;EC000541;EC0001295;EC000960;EC0001293;EC00023;EC000720;EC000721;EC0001282;EC0001283;EC0001301;EC000642;EC000534;EC000535;EC0001296;EC0001297;EC0002111;EC000503;EC0001280;EC0001288;EC0001186;EC0001187;EC000238;EC000944"
"Lipoate metabolism","8","4","3","6.2533","0.90774","0.97394","0.18329","100","1","1","1","1","P93","EC000560;EC0001810;EC0001811;EC00050"
"Phytanic acid peroxisomal oxidation","34","7","4","6.2533","0.90774","0.97394","0.18329","18","0.18","1","1","1","P94","EC00036;EC00028;EC0001677;EC00047"
"Omega-6 fatty acid metabolism","55","13","6","10.422","0.92124","0.96977","0.20041","0","0","1","1","1","P95","EC00028;EC000975;EC0001677;EC0001908;EC000261;EC000262;EC000263"
"Vitamin B9 (folate) metabolism","33","17","8","15.633","0.92729","0.9663","0.2091","0","0","1","1","1","P96","EC00034;EC00035;EC0001166;EC00076;EC00077;EC0001146;EC000762;EC000763;EC000442;EC00024;EC000478"
"Putative anti-Inflammatory metabolites formation from EPA","27","24","9","11.985","0.93415","0.97376","0.21985","0","0","1","1","1","P97","EC00034;EC00035;EC0001792;EC0001793;EC0001195;EC0002042;EC0002039;EC0002040"
"Ubiquinone Biosynthesis","10","8","7","11.985","0.93415","0.97376","0.21985","100","1","1","1","1","P98","EC000430;EC000431;EC00032;EC00028;EC000806;EC00026;EC000208;EC000215"
"Vitamin H (biotin) metabolism","5","4","4","6.7744","0.93978","0.98432","0.22956","0","0","1","1","1","P99","EC000157;EC00050;EC00028;EC0001419"
"Fatty acid oxidation, peroxisome","28","6","2","4.1688","0.95613","0.99478","0.26372","100","1","1","1","1","P100","EC00036;EC00047"
